model,target,MAE,RMSE,R2,rows,dropped_group,feature_count,train_rows,validation_rows,test_rows,delta_MAE_vs_all_features
lightgbm,net_flow,1.2689039282055814,2.161118208766777,0.3944970573181832,400200,weather,28,2194669,413376,400200,-0.0021639596886922075
lightgbm,net_flow,1.269559896926154,2.1658461583335584,0.39184480176725445,400200,calendar,30,2194669,413376,400200,-0.0015079909681197101
lightgbm,net_flow,1.2702983162128898,2.1643084215447157,0.39270806773029565,400200,interaction,26,2194669,413376,400200,-0.0007695716813838072
lightgbm,net_flow,1.2708849166530722,2.162336794525617,0.3938140171337041,400200,station,30,2194669,413376,400200,-0.00018297124120136843
lightgbm,net_flow,1.2710678878942736,2.161251175956102,0.3944225454280673,400200,none,34,2194669,413376,400200,0.0
lightgbm,net_flow,1.28842967687843,2.1869894175732574,0.37991307196214597,400200,time,28,2194669,413376,400200,0.017361788984156412
lightgbm,net_flow,1.3804549479110493,2.524846673902586,0.1735259293580289,400200,lag,28,2194669,413376,400200,0.10938706001677567
lightgbm,rent_count,1.0202580928881708,1.8554592244034862,0.6977826694783551,400200,calendar,30,2194669,413376,400200,-8.0453493193966e-05
lightgbm,rent_count,1.0203385463813648,1.846594350127228,0.7006635935727499,400200,none,34,2194669,413376,400200,0.0
lightgbm,rent_count,1.0204551106017612,1.846875558675058,0.700572417765216,400200,weather,28,2194669,413376,400200,0.00011656422039640901
lightgbm,rent_count,1.0205867219465354,1.8519482457559344,0.698925324268584,400200,interaction,26,2194669,413376,400200,0.00024817556517064965
lightgbm,rent_count,1.0244330746638428,1.849266328364369,0.6997967014758985,400200,station,30,2194669,413376,400200,0.004094528282478027
lightgbm,rent_count,1.050442441527386,1.896193823702912,0.6843672995636536,400200,time,28,2194669,413376,400200,0.030103895146021298
lightgbm,rent_count,1.1743916354340078,2.3518952611344033,0.5144292811669287,400200,lag,28,2194669,413376,400200,0.15405308905264303
lightgbm,return_count,0.9830520672898224,1.786444913389988,0.7285141335093115,400200,interaction,26,2194669,413376,400200,-0.0004877379920010805
lightgbm,return_count,0.9833041940908949,1.7954679542079661,0.7257647463084032,400200,calendar,30,2194669,413376,400200,-0.0002356111909286307
lightgbm,return_count,0.9835398052818235,1.7846363486836285,0.7290635500774576,400200,none,34,2194669,413376,400200,0.0
lightgbm,return_count,0.9849590394339732,1.788486542716195,0.7278932464874661,400200,weather,28,2194669,413376,400200,0.0014192341521497287
lightgbm,return_count,0.9879388672575009,1.7827639870290797,0.7296317609696761,400200,station,30,2194669,413376,400200,0.00439906197567741
lightgbm,return_count,1.0046826066523877,1.824426892644746,0.7168471756301567,400200,time,28,2194669,413376,400200,0.021142801370564235
lightgbm,return_count,1.1392540455304137,2.2920101131635295,0.5531095987515405,400200,lag,28,2194669,413376,400200,0.15571424024859015
