district,rows,rent_MAE,return_MAE,net_flow_MAE
광진구,39600,1.3274460864316335,1.2746759818550621,1.567166539210007
영등포구,122784,1.2121317529001563,1.1661366034437475,1.513734407598357
강서구,145272,1.1908154286961428,1.1303270245064563,1.4890800505528787
동작구,55440,1.1227873217025683,1.0684318978377771,1.4277914424141889
양천구,92712,1.12236516367499,1.0888912730753846,1.4230409730399718
마포구,108720,1.1665192964688123,1.1212238093549685,1.4075524273925724
강동구,86400,1.0338809245542004,1.0066058352662595,1.326760525357438
종로구,77184,1.0786929992570273,1.0469578320747588,1.3252990055813267
성동구,51120,1.1001141866741355,1.0640532229294253,1.3225322196135731
동대문구,59040,1.027611939808558,1.0107049490501847,1.316083996661307
도봉구,50064,1.0361326412251686,0.9939505117210925,1.2740154330855502
금천구,52560,1.0041787210140267,0.9457530859438443,1.2603293866981364
송파구,164880,1.0167324222029237,0.9724425243775298,1.2570884357330026
노원구,93432,0.9998659322525743,0.9487970600521867,1.2478405510452568
구로구,90720,0.9460816399188603,0.9139154915820816,1.2280002773788075
서대문구,61920,0.934792332229001,0.8969554153641266,1.173611931946054
중랑구,66960,0.8852879470696564,0.8562947783295359,1.137048393147216
성북구,54000,0.9044950254491838,0.8687886782839447,1.1319614464678875
은평구,75600,0.8928286531039205,0.8629301363238181,1.1281761203303742
중구,61200,0.9044037861769592,0.8558361289434752,1.1272211800190681
강북구,47520,0.8554945633638222,0.8035690850567428,1.0877352867223777
용산구,58320,0.8649937181941871,0.8418373630861654,1.0844841193462536
관악구,46632,0.8107051204660709,0.76086683696972,1.0358577975917764
강남구,123720,0.8221636971875455,0.7801316958366056,1.0140122484048002
서초구,107280,0.764659884725435,0.7257942415559706,0.9624857340001763
UNKNOWN,7920,0.7175457756290945,0.6745677191864685,0.8778625879659255
