target,feature,importance_gain,importance_gain_fraction,importance_split
rent_count,return_count_lag_1h,306573960.1736145,0.19966852419549197,3760
rent_count,rent_count_lag_1h,280974342.1886902,0.18299575153037856,3840
rent_count,rent_count_lag_168h,279531763.7423401,0.18205621475675357,3356
rent_count,rent_count_lag_24h,225242659.66423035,0.14669826953194393,4068
rent_count,return_count_lag_24h,155542891.30267334,0.101303514290375,2767
rent_count,hour,95121498.80630493,0.06195167154823733,7740
rent_count,return_count_lag_168h,51063209.434661865,0.03325695262158067,3752
rent_count,rain_amount,26630475.26335144,0.017344159600008884,4488
rent_count,hour_cos,24132487.565673828,0.015717245439486813,2618
rent_count,hour_sin,17991842.731781006,0.01171790547304704,2349
rent_count,station_id_code,13396863.52079773,0.008725241917256368,8861
rent_count,non_working_x_rent_lag_168h,11663325.157531738,0.007596205888124695,1277
rent_count,TA,6754315.636367798,0.004399017562680014,3089
rent_count,commute_x_rent_lag_1h,6162302.753875732,0.0040134455510030635,420
rent_count,commute_x_return_lag_1h,4779311.7398376465,0.0031127174702742498,372
rent_count,rain_x_return_lag_24h,4758883.212158203,0.0030994125765026743,1188
rent_count,rain_x_rent_lag_24h,4597942.079437256,0.00299459324209298,1198
rent_count,HM,3755539.710571289,0.0024459450866038423,1568
rent_count,freezing_x_rent_lag_24h,3632813.9696655273,0.002366015050949233,892
rent_count,is_non_working_day,3051156.3986206055,0.0019871873490403557,1128
rent_count,freezing_x_return_lag_24h,2785279.005493164,0.001814024087970703,525
rent_count,non_working_x_return_lag_168h,2434711.1839904785,0.0015857028061820279,609
rent_count,month,1745107.3120117188,0.0011365707686158885,676
rent_count,is_commute_time,1278824.119293213,0.0008328852341545076,228
rent_count,dayofweek,695533.7712402344,0.00045299412106956563,488
rent_count,year,500608.52630615234,0.0003260412775782525,245
rent_count,is_holiday,307921.37019348145,0.0002005460787340467,208
rent_count,WS,196092.4619293213,0.00012771304013268263,196
rent_count,district_code,54595.27456665039,3.555735097200522e-05,52
rent_count,is_weekend,50715.17135620117,3.303027893588758e-05,29
rent_count,weather_missing_flag,4564.502014160156,2.972814065286515e-06,8
rent_count,dist,2436.9990234375,1.5871928529091678e-06,3
rent_count,lon,315.822998046875,2.0569232915706248e-07,1
rent_count,lat,274.1860046386719,1.7857457583892252e-07,1
return_count,return_count_lag_24h,414588694.9299164,0.252085214816673,2517
return_count,rent_count_lag_1h,378273588.7488251,0.23000429110914597,2788
return_count,return_count_lag_1h,369281035.633728,0.22453648720737102,3243
return_count,return_count_lag_168h,227320377.054039,0.13821917187481783,4296
return_count,rent_count_lag_24h,50439912.67982483,0.03066932692261975,2790
return_count,hour,38753797.74661255,0.02356373810812221,6515
return_count,rain_amount,33102897.789245605,0.020127782552457146,5416
return_count,rent_count_lag_168h,23565166.4160614,0.014328490165868318,2467
return_count,station_id_code,20184214.780464172,0.01227274689605151,13804
return_count,hour_sin,14182896.090026855,0.008623723828700523,2566
return_count,commute_x_rent_lag_1h,11036383.985305786,0.006710528438807038,646
return_count,non_working_x_return_lag_168h,11026218.972854614,0.006704347736393526,1142
return_count,rain_x_return_lag_24h,9780496.022720337,0.005946902245653014,1014
return_count,commute_x_return_lag_1h,7506343.7766571045,0.004564133818811132,698
return_count,freezing_x_return_lag_24h,7245476.724746704,0.004405517031562407,739
return_count,TA,6272514.158874512,0.003813919912716862,2621
return_count,HM,4364163.995010376,0.0026535726411048245,1837
return_count,hour_cos,4311415.698165894,0.0026214997314865274,1212
return_count,month,3506116.576446533,0.0021318481694133752,1085
return_count,rain_x_rent_lag_24h,2455341.9601898193,0.0014929384545506533,783
return_count,year,2103445.237487793,0.0012789722706666015,661
return_count,is_non_working_day,1955607.1105499268,0.0011890812378357945,975
return_count,dayofweek,856065.91456604,0.0005205196441911947,686
return_count,is_commute_time,699708.5104370117,0.00042544857667280427,190
return_count,freezing_x_rent_lag_24h,578527.938659668,0.00035176632039887745,323
return_count,non_working_x_rent_lag_168h,557767.9026031494,0.0003391434529331015,265
return_count,is_holiday,282072.2198944092,0.00017151031134102204,217
return_count,WS,193765.7312927246,0.00011781670989676466,277
return_count,is_weekend,99845.65327453613,6.0709839081543834e-05,49
return_count,district_code,96265.92222595215,5.853323059847666e-05,135
return_count,weather_missing_flag,11110.909957885742,6.755842978342216e-06,27
return_count,dist,3906.5330200195312,2.3753161327916107e-06,9
return_count,lon,1704.4449768066406,1.0363653987095174e-06,6
return_count,lat,245.41200256347656,1.4921954732813385e-07,1
