model,target,MAE,RMSE,R2,rows
lightgbm,net_flow,1.2588672574523474,2.1365022218777816,0.41389584314206573,2001000
historical_mean,net_flow,1.342418672644203,2.291366753599178,0.3258487892375952,2001000
lag_168h,net_flow,1.6263803098450775,2.6763342686296268,0.08029443595086028,2001000
lag_24h,net_flow,1.708904047976012,2.8688257910319956,-0.056760221260453436,2001000
lightgbm,rent_count,1.007366041592784,1.8225255138942125,0.7130012876442343,2001000
historical_mean,rent_count,1.2539105198762512,2.330429304806026,0.5307496769136821,2001000
lag_168h,rent_count,1.3379225387306346,2.44541662478311,0.48330003116263665,2001000
lag_24h,rent_count,1.4112968515742128,2.660754910106185,0.3882943960762223,2001000
lightgbm,return_count,0.9660439842641131,1.7280899856475027,0.752027447372989,2001000
historical_mean,return_count,1.2038344413181097,2.2938657330845817,0.5630750016748551,2001000
lag_168h,return_count,1.270214892553723,2.3385819458042043,0.545874288969167,2001000
lag_24h,return_count,1.339823088455772,2.5802498242267724,0.447166413465801,2001000
